FIPS,COUNTY,STATE,AGEGROUP,CASES
01001,Autauga,Alabama,0 - 17 years,489
01001,Autauga,Alabama,18 to 49 years,2062
01001,Autauga,Alabama,50 to 64 years,858
01001,Autauga,Alabama,65+ years,638
01003,Baldwin,Alabama,0 - 17 years,1185
01003,Baldwin,Alabama,18 to 49 years,5356
01003,Baldwin,Alabama,50 to 64 years,2358
01003,Baldwin,Alabama,65+ years,2158
01005,Barbour,Alabama,0 - 17 years,131
01005,Barbour,Alabama,18 to 49 years,569
01005,Barbour,Alabama,50 to 64 years,262
01005,Barbour,Alabama,65+ years,252
01007,Bibb,Alabama,0 - 17 years,142
01007,Bibb,Alabama,18 to 49 years,809
01007,Bibb,Alabama,50 to 64 years,305
01007,Bibb,Alabama,65+ years,211
01009,Blount,Alabama,0 - 17 years,525
01009,Blount,Alabama,18 to 49 years,1751
01009,Blount,Alabama,50 to 64 years,777
01009,Blount,Alabama,65+ years,674
01015,Calhoun,Alabama,0 - 17 years,966
01015,Calhoun,Alabama,18 to 49 years,4396
01015,Calhoun,Alabama,50 to 64 years,1745
01015,Calhoun,Alabama,65+ years,1569
01017,Chambers,Alabama,0 - 17 years,211
01017,Chambers,Alabama,18 to 49 years,860
01017,Chambers,Alabama,50 to 64 years,380
01017,Chambers,Alabama,65+ years,467
01019,Cherokee,Alabama,0 - 17 years,61
01019,Cherokee,Alabama,18 to 49 years,439
01019,Cherokee,Alabama,50 to 64 years,219
01019,Cherokee,Alabama,65+ years,237
01021,Chilton,Alabama,0 - 17 years,315
01021,Chilton,Alabama,18 to 49 years,1322
01021,Chilton,Alabama,50 to 64 years,582
01021,Chilton,Alabama,65+ years,470
01025,Clarke,Alabama,0 - 17 years,265
01025,Clarke,Alabama,18 to 49 years,1069
01025,Clarke,Alabama,50 to 64 years,548
01025,Clarke,Alabama,65+ years,439
01031,Coffee,Alabama,0 - 17 years,342
01031,Coffee,Alabama,18 to 49 years,1531
01031,Coffee,Alabama,50 to 64 years,666
01031,Coffee,Alabama,65+ years,549
01033,Colbert,Alabama,0 - 17 years,345
01033,Colbert,Alabama,18 to 49 years,1534
01033,Colbert,Alabama,50 to 64 years,742
01033,Colbert,Alabama,65+ years,683
01039,Covington,Alabama,0 - 17 years,225
01039,Covington,Alabama,18 to 49 years,1002
