VISN,VAMC,FIPS,COUNTY,STATE
1,Brockton VA Medical Center,44009,Washington,Massachusetts
1,Brockton VA Medical Center,44007,Providence,Massachusetts
1,Brockton VA Medical Center,44005,Newport,Massachusetts
1,Brockton VA Medical Center,44003,Kent,Massachusetts
1,Brockton VA Medical Center,44001,Bristol,Massachusetts
1,Brockton VA Medical Center,33015,Rockingham,Massachusetts
1,Brockton VA Medical Center,33011,Hillsborough,Massachusetts
1,Brockton VA Medical Center,33005,Cheshire,Massachusetts
1,Brockton VA Medical Center,25027,Worcester,Massachusetts
1,Brockton VA Medical Center,25025,Suffolk,Massachusetts
1,Brockton VA Medical Center,25023,Plymouth,Massachusetts
1,Brockton VA Medical Center,25021,Norfolk,Massachusetts
1,Brockton VA Medical Center,25019,Nantucket,Massachusetts
1,Brockton VA Medical Center,25017,Middlesex,Massachusetts
1,Brockton VA Medical Center,25015,Hampshire,Massachusetts
1,Brockton VA Medical Center,25013,Hampden,Massachusetts
1,Brockton VA Medical Center,25011,Franklin,Massachusetts
1,Brockton VA Medical Center,25009,Essex,Massachusetts
1,Brockton VA Medical Center,25007,Dukes,Massachusetts
1,Brockton VA Medical Center,25005,Bristol,Massachusetts
1,Brockton VA Medical Center,25001,Barnstable,Massachusetts
1,Brockton VA Medical Center,09015,Windham,Massachusetts
1,Brockton VA Medical Center,09013,Tolland,Massachusetts
1,Brockton VA Medical Center,09011,New London,Massachusetts
1,Edith Nourse Rogers Memorial Veterans' Hospital,44009,Washington,Massachusetts
1,Edith Nourse Rogers Memorial Veterans' Hospital,44007,Providence,Massachusetts
1,Edith Nourse Rogers Memorial Veterans' Hospital,44005,Newport,Massachusetts
1,Edith Nourse Rogers Memorial Veterans' Hospital,44003,Kent,Massachusetts
1,Edith Nourse Rogers Memorial Veterans' Hospital,44001,Bristol,Massachusetts
1,Edith Nourse Rogers Memorial Veterans' Hospital,33015,Rockingham,Massachusetts
1,Edith Nourse Rogers Memorial Veterans' Hospital,33011,Hillsborough,Massachusetts
1,Edith Nourse Rogers Memorial Veterans' Hospital,33005,Cheshire,Massachusetts
1,Edith Nourse Rogers Memorial Veterans' Hospital,25027,Worcester,Massachusetts
1,Edith Nourse Rogers Memorial Veterans' Hospital,25025,Suffolk,Massachusetts
1,Edith Nourse Rogers Memorial Veterans' Hospital,25023,Plymouth,Massachusetts
1,Edith Nourse Rogers Memorial Veterans' Hospital,25021,Norfolk,Massachusetts
1,Edith Nourse Rogers Memorial Veterans' Hospital,25019,Nantucket,Massachusetts
1,Edith Nourse Rogers Memorial Veterans' Hospital,25017,Middlesex,Massachusetts
1,Edith Nourse Rogers Memorial Veterans' Hospital,25015,Hampshire,Massachusetts
1,Edith Nourse Rogers Memorial Veterans' Hospital,25013,Hampden,Massachusetts
1,Edith Nourse Rogers Memorial Veterans' Hospital,25011,Franklin,Massachusetts
1,Edith Nourse Rogers Memorial Veterans' Hospital,25009,Essex,Massachusetts
1,Edith Nourse Rogers Memorial Veterans' Hospital,25007,Dukes,Massachusetts
1,Edith Nourse Rogers Memorial Veterans' Hospital,25005,Bristol,Massachusetts
1,Edith Nourse Rogers Memorial Veterans' Hospital,25001,Barnstable,Massachusetts
1,Edith Nourse Rogers Memorial Veterans' Hospital,09015,Windham,Massachusetts
1,Edith Nourse Rogers Memorial Veterans' Hospital,09013,Tolland,Massachusetts
1,Edith Nourse Rogers Memorial Veterans' Hospital,09011,New London,Massachusetts
1,Edward P. Boland Department of Veterans Affairs Medical Center,36119,Westchester,Massachusetts
1,Edward P. Boland Department of Veterans Affairs Medical Center,36079,Putnam,Massachusetts
1,Edward P. Boland Department of Veterans Affairs Medical Center,36027,Dutchess,Massachusetts
1,Edward P. Boland Department of Veterans Affairs Medical Center,36021,Columbia,Massachusetts
1,Edward P. Boland Department of Veterans Affairs Medical Center,09009,New Haven,Massachusetts
1,Edward P. Boland Department of Veterans Affairs Medical Center,09007,Middlesex,Massachusetts
1,Edward P. Boland Department of Veterans Affairs Medical Center,09005,Litchfield,Massachusetts
1,Edward P. Boland Department of Veterans Affairs Medical Center,09003,Hartford,Massachusetts
1,Edward P. Boland Department of Veterans Affairs Medical Center,09001,Fairfield,Massachusetts
1,Jamaica Plain VA Medical Center,44009,Washington,Massachusetts
1,Jamaica Plain VA Medical Center,44007,Providence,Massachusetts
1,Jamaica Plain VA Medical Center,44005,Newport,Massachusetts
1,Jamaica Plain VA Medical Center,44003,Kent,Massachusetts
1,Jamaica Plain VA Medical Center,44001,Bristol,Massachusetts
1,Jamaica Plain VA Medical Center,33015,Rockingham,Massachusetts
1,Jamaica Plain VA Medical Center,33011,Hillsborough,Massachusetts
1,Jamaica Plain VA Medical Center,33005,Cheshire,Massachusetts
1,Jamaica Plain VA Medical Center,25027,Worcester,Massachusetts
1,Jamaica Plain VA Medical Center,25025,Suffolk,Massachusetts
1,Jamaica Plain VA Medical Center,25023,Plymouth,Massachusetts
1,Jamaica Plain VA Medical Center,25021,Norfolk,Massachusetts
1,Jamaica Plain VA Medical Center,25019,Nantucket,Massachusetts
1,Jamaica Plain VA Medical Center,25017,Middlesex,Massachusetts
1,Jamaica Plain VA Medical Center,25015,Hampshire,Massachusetts
1,Jamaica Plain VA Medical Center,25013,Hampden,Massachusetts
1,Jamaica Plain VA Medical Center,25011,Franklin,Massachusetts
1,Jamaica Plain VA Medical Center,25009,Essex,Massachusetts
1,Jamaica Plain VA Medical Center,25007,Dukes,Massachusetts
1,Jamaica Plain VA Medical Center,25005,Bristol,Massachusetts
1,Jamaica Plain VA Medical Center,25001,Barnstable,Massachusetts
1,Jamaica Plain VA Medical Center,09015,Windham,Massachusetts
1,Jamaica Plain VA Medical Center,09013,Tolland,Massachusetts
1,Jamaica Plain VA Medical Center,09011,New London,Massachusetts
1,Manchester VA Medical Center,50027,Windsor,New Hampshire
1,Manchester VA Medical Center,50025,Windham,New Hampshire
1,Manchester VA Medical Center,50023,Washington,New Hampshire
1,Manchester VA Medical Center,50021,Rutland,New Hampshire
1,Manchester VA Medical Center,50019,Orleans,New Hampshire
1,Manchester VA Medical Center,50017,Orange,New Hampshire
1,Manchester VA Medical Center,50015,Lamoille,New Hampshire
1,Manchester VA Medical Center,50013,Grand Isle,New Hampshire
1,Manchester VA Medical Center,50011,Franklin,New Hampshire
1,Manchester VA Medical Center,50009,Essex,New Hampshire
1,Manchester VA Medical Center,50007,Chittenden,New Hampshire
1,Manchester VA Medical Center,50005,Caledonia,New Hampshire
1,Manchester VA Medical Center,50003,Bennington,New Hampshire
1,Manchester VA Medical Center,50001,Addison,New Hampshire
1,Manchester VA Medical Center,36115,Washington,New Hampshire
1,Manchester VA Medical Center,36083,Rensselaer,New Hampshire
1,Manchester VA Medical Center,36031,Essex,New Hampshire
1,Manchester VA Medical Center,36019,Clinton,New Hampshire
1,Manchester VA Medical Center,33019,Sullivan,New Hampshire
1,Manchester VA Medical Center,33013,Merrimack,New Hampshire
1,Manchester VA Medical Center,33009,Grafton,New Hampshire
1,Manchester VA Medical Center,33001,Belknap,New Hampshire
1,Manchester VA Medical Center,25003,Berkshire,New Hampshire
1,Providence VA Medical Center,44009,Washington,Rhode Island
1,Providence VA Medical Center,44007,Providence,Rhode Island
1,Providence VA Medical Center,44005,Newport,Rhode Island
1,Providence VA Medical Center,44003,Kent,Rhode Island
1,Providence VA Medical Center,44001,Bristol,Rhode Island
1,Providence VA Medical Center,33015,Rockingham,Rhode Island
1,Providence VA Medical Center,33011,Hillsborough,Rhode Island
1,Providence VA Medical Center,33005,Cheshire,Rhode Island
1,Providence VA Medical Center,25027,Worcester,Rhode Island
1,Providence VA Medical Center,25025,Suffolk,Rhode Island
1,Providence VA Medical Center,25023,Plymouth,Rhode Island
1,Providence VA Medical Center,25021,Norfolk,Rhode Island
1,Providence VA Medical Center,25019,Nantucket,Rhode Island
1,Providence VA Medical Center,25017,Middlesex,Rhode Island
1,Providence VA Medical Center,25015,Hampshire,Rhode Island
1,Providence VA Medical Center,25013,Hampden,Rhode Island
1,Providence VA Medical Center,25011,Franklin,Rhode Island
1,Providence VA Medical Center,25009,Essex,Rhode Island
1,Providence VA Medical Center,25007,Dukes,Rhode Island
1,Providence VA Medical Center,25005,Bristol,Rhode Island
1,Providence VA Medical Center,25001,Barnstable,Rhode Island
1,Providence VA Medical Center,09015,Windham,Rhode Island
1,Providence VA Medical Center,09013,Tolland,Rhode Island
1,Providence VA Medical Center,09011,New London,Rhode Island
1,Togus VA Medical Center,33017,Strafford,Maine
1,Togus VA Medical Center,33007,Coos,Maine
1,Togus VA Medical Center,33003,Carroll,Maine
1,Togus VA Medical Center,23031,York,Maine
1,Togus VA Medical Center,23029,Washington,Maine
1,Togus VA Medical Center,23027,Waldo,Maine
1,Togus VA Medical Center,23025,Somerset,Maine
1,Togus VA Medical Center,23023,Sagadahoc,Maine
1,Togus VA Medical Center,23021,Piscataquis,Maine
1,Togus VA Medical Center,23019,Penobscot,Maine
1,Togus VA Medical Center,23017,Oxford,Maine
1,Togus VA Medical Center,23015,Lincoln,Maine
1,Togus VA Medical Center,23013,Knox,Maine
1,Togus VA Medical Center,23011,Kennebec,Maine
1,Togus VA Medical Center,23009,Hancock,Maine
1,Togus VA Medical Center,23007,Franklin,Maine
1,Togus VA Medical Center,23005,Cumberland,Maine
1,Togus VA Medical Center,23003,Aroostook,Maine
1,Togus VA Medical Center,23001,Androscoggin,Maine
1,West Haven VA Medical Center,36119,Westchester,Connecticut
1,West Haven VA Medical Center,36079,Putnam,Connecticut
1,West Haven VA Medical Center,36027,Dutchess,Connecticut
1,West Haven VA Medical Center,36021,Columbia,Connecticut
1,West Haven VA Medical Center,09009,New Haven,Connecticut
1,West Haven VA Medical Center,09007,Middlesex,Connecticut
1,West Haven VA Medical Center,09005,Litchfield,Connecticut
1,West Haven VA Medical Center,09003,Hartford,Connecticut
1,West Haven VA Medical Center,09001,Fairfield,Connecticut
1,West Roxbury VA Medical Center,44009,Washington,Massachusetts
1,West Roxbury VA Medical Center,44007,Providence,Massachusetts
1,West Roxbury VA Medical Center,44005,Newport,Massachusetts
1,West Roxbury VA Medical Center,44003,Kent,Massachusetts
1,West Roxbury VA Medical Center,44001,Bristol,Massachusetts
1,West Roxbury VA Medical Center,33015,Rockingham,Massachusetts
1,West Roxbury VA Medical Center,33011,Hillsborough,Massachusetts
1,West Roxbury VA Medical Center,33005,Cheshire,Massachusetts
1,West Roxbury VA Medical Center,25027,Worcester,Massachusetts
1,West Roxbury VA Medical Center,25025,Suffolk,Massachusetts
1,West Roxbury VA Medical Center,25023,Plymouth,Massachusetts
1,West Roxbury VA Medical Center,25021,Norfolk,Massachusetts
1,West Roxbury VA Medical Center,25019,Nantucket,Massachusetts
1,West Roxbury VA Medical Center,25017,Middlesex,Massachusetts
1,West Roxbury VA Medical Center,25015,Hampshire,Massachusetts
1,West Roxbury VA Medical Center,25013,Hampden,Massachusetts
1,West Roxbury VA Medical Center,25011,Franklin,Massachusetts
1,West Roxbury VA Medical Center,25009,Essex,Massachusetts
1,West Roxbury VA Medical Center,25007,Dukes,Massachusetts
1,West Roxbury VA Medical Center,25005,Bristol,Massachusetts
1,West Roxbury VA Medical Center,25001,Barnstable,Massachusetts
1,West Roxbury VA Medical Center,09015,Windham,Massachusetts
1,West Roxbury VA Medical Center,09013,Tolland,Massachusetts
1,West Roxbury VA Medical Center,09011,New London,Massachusetts
1,White River Junction VA Medical Center,50027,Windsor,Vermont
1,White River Junction VA Medical Center,50025,Windham,Vermont
1,White River Junction VA Medical Center,50023,Washington,Vermont
