State Name,Percent of Veterans who used VA Health Care,Number of VA Health Care Patients,Veteran Population,Year
Alabama,0.2461,101374,411844.5356,2010
Alabama,0.2611,105184,402853.7146,2011
Alabama,0.2672,105800,395992.3785,2012
Alabama,0.2742,106880,389780.0643,2013
Alabama,0.2858,110178,385510.6408,2014
Alabama,0.2913,109912,377310.3945,2015
Alaska,0.199,15106,75896.97603,2010
Alaska,0.2066,16042,77641.05669,2011
Alaska,0.2256,16932,75055.5219,2012
Alaska,0.235,17814,75811.98468,2013
Alaska,0.2452,18766,76522.71944,2014
Alaska,0.3203,21784,68008.01669,2015
Arizona,0.2338,125122,535257.7113,2010
Arizona,0.2416,129695,536870.0153,2011
Arizona,0.2472,132004,534088.8502,2012
Arizona,0.2522,135409,536941.1865,2013
Arizona,0.273,144138,527943.3209,2014
Arizona,0.2887,150735,522188.223,2015
Arkansas,0.3435,84774,246813.5456,2010
Arkansas,0.3524,85838,243569.3087,2011
Arkansas,0.3596,85866,238786.7794,2012
Arkansas,0.3602,85388,237062.8803,2013
Arkansas,0.3705,85412,230524.7531,2014
Arkansas,0.3648,83115,227840.029,2015
California,0.2022,411540,2035139.684,2010
California,0.2139,427283,1997710.13,2011
California,0.2242,439672,1961139.461,2012
California,0.2329,452817,1944128.863,2013
California,0.2502,468953,1874560.417,2014
California,0.2753,492799,1789862.18,2015
Colorado,0.1946,81077,416736.4694,2010
Colorado,0.2051,85487,416868.8567,2011
Colorado,0.2169,89781,413861.3451,2012
Colorado,0.2296,95346,415190.4956,2013
Colorado,0.2393,98428,411296.8438,2014
Colorado,0.255,104979,411682.9037,2015
Connecticut,0.2269,52093,229610.2899,2010
Connecticut,0.2302,52643,228730.6415,2011
Connecticut,0.2417,52779,218370.3039,2012
Connecticut,0.2531,52490,207414.953,2013
Connecticut,0.2572,52613,204550.7819,2014
Connecticut,0.2581,51410,199163.2524,2015
Delaware,0.1921,14251,74195.03628,2010
Delaware,0.188,14696,78162.79549,2011
Delaware,0.1947,14952,76794.70128,2012
Delaware,0.1998,15064,75413.88466,2013
Delaware,0.2096,15305,73016.12923,2014
Delaware,0.2146,15831,73760.41817,2015
District of Columbia,0.2481,8967,36136.35487,2010
District of Columbia,0.2374,8226,34645.14796,2011
District of Columbia,0.2443,8368,34250.30287,2012
District of Columbia,0.257,8404,32705.20921,2013
District of Columbia,0.2482,8416,33908.69992,2014
District of Columbia,0.3229,9356,28976.64628,2015
Florida,0.2812,467735,1663246.035,2010
Florida,0.296,482124,1629041.023,2011
Florida,0.3035,490268,1615159.644,2012
Florida,0.3089,496085,1605926.229,2013
Florida,0.3114,498854,1601910.179,2014
Florida,0.3163,504267,1594217.848,2015
Georgia,0.2171,159900,736516.4331,2010
Georgia,0.2333,169555,726804.582,2011
Georgia,0.2402,175933,732532.675,2012
Georgia,0.2564,183536,715946.3032,2013
Georgia,0.2734,194489,711260.483,2014
Georgia,0.2888,202428,700813.9788,2015
Hawaii,0.1603,20651,128834.6292,2010
Hawaii,0.1759,21603,122842.3535,2011
